Lex_Function	Keyword	Value
Ver	conscience	pure
A1	conscience	doué 
A1	conscience	doté
IncepOper1	conscience	prendre 
Magn	conscience	pleine
Oper1	conscience	avoir 
Oper1	conseil	livrer 
Caus1Func0	conseil	tenir
Oper1	conseil	donner 
Real3	conseil	suivre
S1	conseil	membre 
Magn	conseiller	vivement
Oper2	consensus	faire 
Oper1	consentement	donner 
Oper1	consentement	donner 
AntiBon	conséquence	devastateur
Magn	conséquence	capitale
Magn	conséquence	grosse
Oper2	conséquence	avoir 
AntiBon	conséquence	désastreux 
AntiBon	conséquence	fâcheuse
Bon	conséquence	heureuse
Bon	conséquence	beneficial
Magn	conséquence	évident
Oper1	conséquence	tirer 
Magn	conserver	précieusement
Labor12	considération	prendre
Magn	considération	haute
Magn	considérer	_aller au fond_ 
A2	considérer	en cause
A2	considérer	en question
Oper1	consigne	émettre 
V0	consolation	consoler 
AntiMagn	consolation	maigre
CausFunc1	consolation	apporter 
Bon	consommateur	averti
A1	constipation	constipé

Anti	constipation	diarrhée

Magn	constipation	grave
Oper1	constipation	avoir 
Magn	constipé	très

Anti	construire	détruire
A2	construire	en construction
Oper1	consultation	fournir 
AntiMagn	contact	mince
Caus1Oper1	contact	entrer
LiquFunc0	contact	couper
Adv1	contact	au 
Caus1Oper1	contact	prendre 
FinOper1	contact	perdre 
Magn	contact	étroit
Oper1	contact	être 
Caus1Oper1	contacts	nouer 
CausOper1	contemplation	plonger 
ContOper1	contenance	garder
FinOper1	contenance	perdre 
Magn	content	aux anges
Mult	contestation	vague
Oper1	contestation	apporter 
V0	contestation	contester 
Magn	contesté	hautement
Magn	contester	fermement
Magn	contester	vivement
Adv1	continuer	par la suite
CausFunc0	contour	tracer 
Magn	contradiction	manifeste
A1	contradiction	en 
Magn	contradiction	inhérente
Magn	contradiction	totale
Magn	contraindre	fortement
Func2	contrainte	s'exerce 
Func2	contrainte	pèse 
Magn	contrainte	puissante
Oper2	contrainte	être soumis
Oper2	contrainte	obéir
Magn	contraste	marqué
AntiMagn	contraste	faible
Magn	contraste	frappant
Magn	contraste	violent
Magn	contraste	vif
Oper1	contraste	former 
Ver	contraste	clair
Caus1Func0	contrat	passer 
Real1	contravention	coller 
Real1	contravention	dresser 
Syn	contravention	contredanse
Syn	contravention	prune
V0	contre	être 
Oper1	contre-offensive	lancer 
Oper1	contre-offensive	passer 
Oper1	contrepoids	être 
Oper1	contrepoids	faire 
IncepOper1	contretemps	rencontrer 
Magn	contribuer	largement
Magn	contribuer	activement
Bon	contribution	précieuse
Magn	contribution	grande
Oper1	contribution	apporter 
Oper2	contrôle	se trouver
A2	contrôle	sous
Caus1Oper1	contrôle	prendre 
ContOper1	contrôle	garder
FinOper1	contrôle	perdre 
Magn	contrôle	sérieux
Magn	contrôle	serré
Magn	contrôle	stricte
Oper1	contrôle	avoir 
Oper1	contrôle	exercer 
Oper2	contrôle	être
Magn	contrôler	de près
AntiVer	controverse	infructueuse
Magn	controverse	vive
CausFunc1	controverse	susciter 
Ver	controverse	fructueuse
Syn	convaincant	probant
Magn	convaincu	fermement
AntiReal2	convenances	offenser
Magn	convenir	parfaitement
AntiReal2	convention	briser
Real2	convention	respecter
AntiReal2	convention	violer 
CausFunc0	convention	adopter 
AntiVer	conversation	à bâtons rompus
LiquFunc0	conversation	interrompre
QSyn	converser	bavarder
QSyn	converser	deviser
QSyn	converser	discuter du coup
QSyn	converser	discuter le bout du gras
QSyn	converser	s’entretenir
QSyn	converser	tailler une bavette
Magn	conviction	profonde
Oper1	conviction	avoir 
Magn	conviction	intime
A1	conviction	convaincu
Magn	conviction	indéracinable
Magn	conviction	forte
Magn	conviction	inébranlable
Magn	copain	_comme cochons_
Magn	copain	copain-copain
AntiMagn	copie	vague
CausFunc0	copie	copier
CausFunc0	copie	faire 
Ver	copie	exacte
Magn	copie	crachée
Magn	copie	conforme
Ver	copie	conforme
Son	coq	chante
Son	corbeau	croasse
Labreal12	corne	transpercer
Labreal12	corne	encorner 
Syn	corps	substance
Oper1	correctif	apporter 
Magn	correction	avoine 
Magn	correction	sévère
Oper1	correction	administrer 
Oper1	corrections	collationner 
A1	correspondance	en 
Oper1	correspondance	entretenir 
Magn	correspondance
	soutenue
Magn	correspondre	en tous points
Magn	correspondre	de près
Real1	corvée	remplir 
QSyn	costume
	costard
S0	côte	côtier 
Mult	coton	ballot
Anti	coucher, se	lever, se
Anti	coucher, se	lever, se
Oper1	coude	faire 
AntiMagn	couler	dégouliner
Magn	couler	jaillir
Magn	couler	à flots
Magn	couleur	vive
Magn	couleur	éclatante
A1	couleur	uni
Func2	coup	tomber
Oper2	coup	encaisser
Oper2	coup	manger
Oper2	coup	recevoir
Oper1	coup	porter 
Oper1	coup	donner 
Magn	coup	violent
Magn	coup	dur
Func0	coup	pleuvent
Mult	coup	ratatouille
Oper1	coup	assener 
Magn	coup	retentissant
AntiBon	coup	_de Jarnac_
Fact0	coup	_faire mouche_
Labor12	coup	beurrer 
Labor12	coup	rouer 
Magn	coup	rude
Magn	coup	sérieux
Magn	coup	sévère
Magn	coup	horion
Magn	coup	rageur
Magn	coup	vigoureux
Oper1	coup	flanquer 
Syn	coup	pain
Ver	coup	botte secrète
Ver	coup	imparable
Oper1	coup de téléphone	faire 
Oper2	coup de téléphone	recevoir 
Caus1Oper1	coupable	se rendre
Magn	coupable	grandement
S0	coupable	culpabilité
Oper1	cour	faire 
CausFunc1	courage	donner [...] des couilles au cul
CausFunc1	courage	donner 
FinOper1	courage	perdre 
Oper1	courage	avoir 
Pred	courageux	_ne pas avoir froid aux yeux_
LiquFunc0	courant	couper
Func0	courant	passe 
Magn	courbe	raide
Magn	courir	_à perdre haleine_
Magn	courir	_à fond de train_
Magn	courir	_à toutes jambes_
Magn	courir	_ventre à terre_
Magn	courir	à fond de train
Magn	courir	à grandes enjambées
Magn	courir	à toutes jambes
Magn	courir	les talons aux fesses
Magn	courir	tête baissée
Magn	courir	ventre à terre
CausFunc0	couronne	tresser 
Oper2	cours	être le sujet
Bon	cours	vivant
FinOper1	cours	sortir 
Oper1	cours	donner 
Oper1	cours	faire 
Son	cours d’eau	clapoter
CausFunc0	cours d’eau	détourner
Son	cours d’eau	gargouiller
Magn	course	effrénée
Oper1	course	faire 
AntiMagn	cousin	éloigné
Magn	cousin	germain
Magn	coût	considérable
Func2	coût	s’élève
Magn	coût	élevé
Magn	coût	exorbitant
Magn	coût	significatif
Oper1	coutume	avoir 
Magn	couverture	large
Magn	craindre	beaucoup
S0	craindre	crainte
Magn	craindre	comme le feu
Oper2	crainte	susciter
LiquFunc0	crainte	dissiper 
Oper1	crainte	avoir 
Oper1	crainte	concevoir 
Oper2	crainte	engendrer
Magn	crainte	grande
AntiVer	crainte	vaine
AntiMagn	crainte	puérile
AntiMagn	crainte	légère
A1	crainte	dans 
AntiVer	crainte	illusoire
CausFunc1	crainte	éveiller 
IncepFunc1	crainte	prend
Magn	crainte	folle
Magn	crainte	vive
Oper1	crainte	éprouver 
Oper1	crainte	ressentir 
Oper2	crainte	causer
V0	crainte	craindre
Ver	crainte	fondée
Ver	crainte	justifiée
Oper2	craintes	provoquer 
Oper2	craintes	inspirer 
LiquFunc0	crâne	fracturer 
Oper1	créance	avoir 
Oper1	crédibilité	donner 
Oper1	crédit	faire 
S1	crédit	créancier
S0	créer	création1
S1	créer	créateur
S2	créer	création2
Syn	crème	gratin
Func1	cri	venir
IncepFunc0	cri	s’élever
Magn	cri	aigu
Magn	cri	d’orfraie
Magn	cri	grand
Magn	cri	pénétrant
Magn	cri	perçant
Magn	cri	strident
Magn	cri	vielli de paon
Magn	cri	térrifiant
Oper1	cri	émettre 
Oper1	cri	pousser 
Oper1	cri	jeter 
QSyn	cric	vérin
Magn	crier	à pleins poumons
Magn	crier	à se rompre les poumons
Magn	crier	à tue-tête
Magn	crier	comme un démon
Magn	crier	comme un diable
Magn	crier	comme un sourd
Magn	crier	haut et fort
Oper1	crime	perpétrer
A0	crime	criminel
AntiBon	crime	abominable
AntiBon	crime	crapuleux
AntiBon	crime	méprisable
AntiBon	crime	brutal
AntiBon	crime	crapuleux
AntiBon	crime	infamant
AntiBon	crime	odieux
Magn	crime	contre l’humanité
Magn	crime	énorme
Magn	crime	grave
Oper1	crime	tremper
Oper1	crime	commettre 
S1	crime	auteur 
S1	crime	criminel
S2	crime	victime
Sinstr	crime	arme
Sloc	crime	scène
Sloc	crime	lieu 
Magn	criminel	endurci
Mult	criminel	pègre
AntiReal1	crise	surmonter
IncepOper1	crise	entrer 
IncepOper1	crise	s’enfoncer 
LiquFunc0	crise	désamorcer 
LiquFunc0	crise	résoudre 
Magn	crise	exceptionnelle
Magn	crise	sans précédent
Magn	crise	une des pires
Magn	crise	grave
Magn	crise	majeure
Magn	crise	profonde
Oper1	crise	connaître
Oper1	crise	faire face
Oper1	crise	traverser
Magn	crise	sévère
AntiMagn	critère	fragile
Magn	critère	fiable
Magn	critère	rigoureuse
Real2	critère	répondre
Oper1	critique	adresser
Oper1	critique	exprimer
Func1	critique	émane
Oper1	critique	faire
Oper1	critique	porter
S2	critique	cible
Magn	critique	acerbe
Magn	critique	féroce
Magn	critique	vive
Magn	critique	dure
Magn	critique	mordant
Magn	critique	cinglant
Oper2	critique	être l'objet 
V0	critique	critiquer
Magn	critiquer	vivement
Magn	critiquer	vertement
Magn	critiquer	descendre
Magn	critiquer	sévèrement
Magn	critiquer	durement
Magn	critiquer	comdamner
Magn	critiquer	attaquer
Magn	critiquer	fustiger
Magn	critiquer	fulminer
Magn	critiquer	siffler
Magn	critiques	sérieuses
Oper1	critiques	adresser
Oper1	critiques	formuler
AntiVer	croire	gober
Adv1	croire	à en
AntiVer	croire	avaler
Magn	croire	dur comme fer
S1	croisade	croisé
AntiMagn	croissance	faible
Anti	croyant	mécréant
Magn	cuillère	bombée
Magn	cuisine	haute
Oper1	cuisine	faire
V0	cuisine	cuisiner
S0	cuisiner	cuisine
Sinstr	cuisiner	_utensil de cuisine_
A0	cuisse	crural
FinOper1	cuite	sortir 
Oper1	cuite	prendre 
Syn	cul	derche
Real1	culasse	faire jouer 
A1	culot	culotté
Anti	culpabilité	innocence
Oper1	culte	vouer 
Magn	culture	vaste
Oper1	culture	posséder 
AntiBon	curiosité	malsaine
Magn	curiosité	grande
Magn	d’abord	en premier lieu
Magn	d’abord	tout 
IncepOper1	d’accord	tomber 
Oper1	d’usage	être 
QSyn	damné	réprouvé
Magn	danger	grand
Real2	danger	faire face 
Oper2	danger	filer un mauvais coton
Oper1	danger	représenter 
Oper2	danger	courir 
A2	danger	en
AntiReal2	danger	cacher la tête dans le sable
AntiReal2	danger	faire l’autruche
IncepFunc1	danger	venir
LiquFunc0	danger	répousser 
Oper2	danger	être 
Magn	dangereux	extrêmement
QSyn	dans	_au sein_ 
IncepOper1	dans l’oubli	tomber 
AntiBon	danser	comme un ours
Bon	danser	comme un ange
AntiMagn	date	fraîche
Syn	de quoi il s’agit	de quoi il retourne
CausOper1	débâcle	précipiter 
Oper1	débâcle	subir 
QSyn	débarasser, se	envoyer à tous les diables
QSyn	débarasser, se	envoyer bouler
QSyn	débarasser, se	envoyer paître
QSyn	débarasser, se	envoyer sur les roses
Magn	débat	passionné
Magn	débat	animé
CausFunc0	débat	lancer
CausFunc0	débat	ouvrir
IncepFunc0	débat	s’ouvre
IncepOper1	débat	entreprendre 
IncepOper1	débat	entrer 
Magn	débat	vif
CausFunc0	débat	soulever 
CausFunc0	débat	susciter 
Magn	débattre	âprement
Magn	débattre	âprement
QSyn	débiliter	étioler
Magn	débrouiller, se	comme un chef
Anti	début	fin
Locin	début	au 
Locin	début	en 
Magn	déception	profonde
Func0	décès	intervient
Func0	décès	survient
CausFunc1	déchirure1	causer 
QSyn	déchirure1	accroc
Oper1	déchirure2	causer 
Oper1	déchirure2	faire 
Magn	décidé	fermement

A1	décider, se	dur à la détente
Magn	décision	bouclée
Magn	décision	cruciale
Magn	décision	importante
Oper1	décision	prendre 
Real3	décision	se conformer
Oper1	déclaration	faire 
A1	déclin	sur 
IncepOper1	déclin	amorcer 
Oper1	décomposition	subir 
Oper1	décompte	établir 
Magn	découverte	de taille
Magn	découverte	grande
Oper1	découverte	faire 
IncepOper1	décrépitude	tomber 
Magn	dédommager	largement
Magn	défaite	cuisante
Magn	défaite	_sur toute la ligne_
Magn	défaite	écrasante
Magn	défaite	majeure
Magn	défaite	monumentale
Magn	défaite	sanglante
Magn	défaite	sévère
Oper1	défaite	_jeter les gants_
Oper1	défaite	_mettre les pouces_
Oper1	défaite	connaître 
Oper1	défaite	subir 
Oper2	défaite	infliger 
V0	défaite	_mordre la poussière_
V0	défaite	_prendre une veste_
Magn	défaut	tare
Magn	défaut	grande
Magn	défaut	grave
Magn	défaut	sérieux
S0	défectueux	défectuosité
Syn	défectueux	_à la manque_
Anti	défendre	permettre
Magn	défendre	bec et ongle
Magn	défendre	jusqu'au dernier
Magn	défendre	âme et corps
S0	défendre	défense
Magn	défendre	catégoriquement
QSyn	défendre	interdire
Magn	défendre	expressément
S0	défendre	défense
Magn	défendre, se	_comme un beau diable_
Magn	défendre, se	_bec et ongles_
IncepOper1	défense	prendre 
Anti	défenseur	adversaire
Anti	défenseur	pourfendeur
Magn	défenseur	infatigable
S0	déféquer	grosse commission
S2	déféquer	excréments
Sloc	déféquer	toilette
Syn	déféquer	_aller à la selle_
Syn	déféquer	faire caca
Syn	déféquer	chier
A2	défi	confronté
Labor12	défi	mettre
Oper1	défi	constituer 
Oper1	défi	représenter 
Oper2	défi	_faire face_ 
Oper2	défi	affronter 
Oper1	défi	jeter 
Oper1	défi	lancer 
V0	défi	_jeter le gant_ 
V0	défi	défier
A1	déficience	atteint 
LiquFunc0	déficit	combler 
LiquFunc0	déficit	éponger 
CausFunc0	définition	poser 
Magn	dégâts	ravage
CausFunc1	dégâts	déclencher 
CausFunc1	dégâts	faire 
CausFunc1	dégâts	occasionner 
Magn	dégâts	grands
Magn	dégâts	gros
Magn	dégâts	lourds
Magn	dégâts	importants
Magn	dégâts	étendues
Oper1	dégâts	subir 
QSyn	dégâts	dévastation
QSyn	dégâts	dommage
IncepOper1	degré	atteindre 
A1	degré	à 
AntiMagn	degré	bas
Magn	degré	haut
Real1	déjeuner	prendre 
AntiMagn	délai	le meilleur
CausFunc1	délai	impartir 
S1	délicieux	régal
Magn	délicieux	absolument
Magn	délicieux	succulent
Magn	délicieux	délectable
QSyn	délinquant	dévoyé
Magn	délit	sérieux
AntiMagn	délit	mineur
Oper1	délit	commettre 
S1	délit	auteur 
Real2	demande	satisfaire
Magn	demande	forte
Magn	demande	pressante
Oper1	demande	adresser 
Oper1	demande	faire 
Oper2	demande	être 
QSyn	demande	requête
QSyn	demande	supplique
ContOper1	démarche	poursuivre
Oper1	démarche	entreprendre 
Oper1	démarche	faire 
Oper1	démarche	prendre 
AntiVer	déménager	à la cloche de bois
Magn	démenti	flagrant
Magn	démentir	vigoureusement
AntiBon	demeure	taudis
AntiBon	demeure	miteuse
AntiBon	demeure	délabrée
AntiReal2	démission	refuser
Oper1	démission	offrir
Oper1	démission	présenter
Oper1	démission	remettre
Oper1	démission	tendre
Oper1	démission	donner 
Real2	démission	accepter
V0	démission	démissionner
QSyn	démissionner	_rendre [...] tablier_
Oper1	demi-tour	faire
Magn	démodé	furieusement
QSyn	démodé	ringard
Magn	démonstration	convaincante
Oper1	démonstration	faire 
Oper1	démonstration	faire 
Ver	démonstration	exemplaire
Magn	démontrer	clairement
Magn	démontrer	définitivement
Magn	démontrer	largement
Magn	démontrer	sans aucune ambiguïté
Magn	dénoncer	crier haro 
Syn	dénoncer	moucharder
AntiMagn	densité	faible
Magn	densité	forte
Magn	densité	grande
Bon	dentelle	fine
Oper1	dentition	faire 
IncepOper1	dents	faire 
Real1	dents	se brosser 
Real1	dents	se laver 
Adv1	dénument	dans 
Magn	dénument	grand
Locin	départ	à 
Syn	dépasser	coiffer
QSyn	dépêcher, se	faire vinaigre
QSyn	dépêcher, se	grouiller, se
A1	dépendance	sous la coupe 
Magn	dépendance	forte
Magn	dépendre	étroitement
Magn	dépense	folle
Syn	dépenser	claquer
Oper1	dépenses	effectuer 
Oper1	dépenses	faire 
V0	dépenses	dépenser
Magn	dépit	grand
QSyn	déplacer, se	jeter, se
QSyn	déplacer, se	précipiter, se
Oper1	déportation	mener 
Fact0	dépouille mortelle	repose 
CausOper1	dépression	basculer 
IncepOper1	dépression	sombrer 
Oper1	dépression	avoir 
Oper1	dépression	faire 
A1	déprime	en
Sing	déprime	coup
Syn	déprime	blues 
Syn	déprime	cafard
Pred	déprimé	_broyer du noir_
Pred	déprimé	cafarder
CausFunc1	dernières honneurs	rendre 
QSyn	dérober, se	défiler, se
Oper2	dérouillée	prendre 
Oper2	dérouillée	ramasser 
Oper2	dérouillée	recevoir 
A2	déroute	en
QSyn	déroute	débacle
QSyn	déroute	défaite
A1	désaccord	en 
Oper1	désaccord	se trouver 
Magn	désappointement	vif
Oper1	désappointement	ressentir 
Magn	désapprouver	avec la plus grande fermeté
Magn	désarroi	total
Oper1	désarroi	semer 
Oper1	désavantage	offrir 
QSyn	désavantage	handicap
Oper1	description	donner 
Adv1	désespoir	en proie
CausOper1	désespoir	mettre
CausOper1	désespoir	plonger
IncepOper1	désespoir	plonger 
IncepOper1	désespoir	sombrer 
IncepOper1	désespoir	tomber 
Magn	désespoir	affreux
Magn	désespoir	dernier
Magn	désespoir	profond
Magn	désespoir	sans fin
Real1	désespoir	s’abandonner 
Real1	désespoir	se livrer 
Magn	désillusion	amère
Magn	désir	profond
A1	désir	désireux
Adv1	désir	avec
Magn	désir	irrépressible
Magn	désir	rage
Magn	désir	ardent
Magn	désir	brûlant
Oper1	désir	avoir 
Real2	désir	combler 
A1	désirer	désireux
Magn	désirer	ardemment
Magn	désirer	de tout [...] cœur
Magn	désirer	de tout cœur
Magn	désirer	vivement
S0	désirer	désir
Magn	désordre	pagaille
Magn	désordre	chienlit
Magn	désordre	bordel
Magn	désordre	extrême
Magn	désordre	Tout est sens dessus-dessous
Magn	désordre	Un cochon n’y trouverait pas ses petits
QSyn	désorganisation	incurie
Adv1	dessein	à 
Adv1	dessein	à 
Oper1	dessein	nourrir 
AntiBon	destin	funeste
Func1	destin	attend 
Oper1	destin	avoir 
Oper1	destin	connaître 
IncepOper1	désuétude	tomber 
Bon	détail	savoureux
Real1	détails	entrer 
Oper1	détails	avoir 
Real1	détails	descendre 
Real1	détails	faire 
Real1	détails	donner 
V0	détention	détenir
Magn	détermination	forte
Magn	détermination	implacable
Magn	détermination	inflexible
Magn	détester	cordialement
Oper1	détour	effectuer 
QSyn	détourner	rébuter 
A1	détresse	en
Oper1	détresse	connaître 
Syn	détruire	_foutre en l’air_
Magn	détruire	de fond en comble
Syn	détruire	_battre en brèche_
Real1	dette	pay 
Caus1Oper1	dette	contracter
Magn	dette	astronomique
Magn	dette	considérable
Oper1	dette	avoir 
S1	dette	débiteur
S1	dette	solvens
V0	dette	devoir
FinOper1	deuil	quitter 
Func1	deuil	frappe
IncepOper1	deuil	prendre 
IncepOper1	deuil	se mettre 
Magn	deuil	grand
Oper1	deuil	être 
Syn	deuxièmement	dans un deuxième temps
QSyn	devancer	_prendre de vitesse_
Magn	devant	loin
Func0	développement	survenir
Caus1Func0	devis	établir 
Syn	dévoiler	déballer
Magn	devoir	absolument
Magn	devoir	impérativement
Real1	devoir	accomplir 
Real1	devoir	remplir 
Real1	devoir	s’acquitter 
Magn	dévorer	à belle dent
Magn	dévorer	goulûment
Magn	dévotion	aveugle
Magn	dévoué	lige
Oper1	diagnostic	établir 
Oper1	diagnostic	faire 
Oper1	diagnostic	porter 
Oper2	diagnostic	recevoir 
V0	diagnostic	diagnostiquer
V0	diagnostic	diagnostiquer
V0	diagnostic	diagnostiquer
IncepOper1	dialogue	engager 
IncepOper1	dialogue	ouvrir 
Ver	dialogue	franc
Anti	diarrhée	constipation

Magn	diarrhée	forte
Oper1	diarrhée	avoir 
Syn	diarrhée	courante

Locin	dictionnaire	dans 
Sing	dictionnaire	article
Fact0	diète	agit
IncepReal1	diète	débuter 
Magn	diète	sévère
Magn	diète	stricte
QSyn	diète	régime
Real1	diète	faire 
Real1	diète	suivre 
Ver	diète	efficace
Mult	dieu	panthéon
Real1	dieu	adorer
Magn	différence	énorme
AntiMagn	différence	infime
AntiMagn	différence	légère
AntiMagn	différence	ténue
Caus1Func0	différence	faire
Magn	différence	abîme
Magn	différence	tout la ~ du monde
Magn	différence	grosse
Magn	différence	importante
Magn	différence	marquée
Magn	différence	nette
Magn	différence	profonde
Oper1	différence	comporter 
Oper1	différence	faire 
QSyn	différence	écart
Magn	différend	grand
Real1	différend	régler 
AntiMagn	différend	léger
Magn	différend	grave
Magn	différer	largement
Magn	difficile	ardu
Magn	difficile	diaboliquement
Pred	difficile	_ne pas être un mince exploit_
Syn	difficile	coton
Magn	difficulté	impossible
AntiReal2	difficulté	surmonter 
CausFunc1	difficulté	faire 
CausFunc1	difficulté	soulever 
Func1	difficulté	consiste
Func1	difficulté	provient 
Func1	difficulté	réside 
Func2	difficulté	touche
Magn	difficulté	énorme
Magn	difficulté	sans pareille
Magn	difficulté	compliquée
Magn	difficulté	grande
Magn	difficulté	grosse
Magn	difficulté	impraticable
Magn	difficulté	insurmontable
Oper1	difficulté	poser 
Oper2	difficulté	éprouver 
Oper2	difficulté	être 
Oper2	difficulté	rencontrer 
Oper2	difficulté	avoir 
S0	diffuser, se	diffusion1
Magn	diffusion1	large
Oper1	diffusion1	avoir 
Oper1	diffusion1	connaître 
S0	diffusion1	diffuser, se
IncepOper1	dimension	acquérir 
IncepOper1	dimension	atteindre 
IncepOper1	dimension	prendre 
Magn	dimension	considérable
Magn	dimensions	colossales
Magn	dimensions	demésurées
Magn	dimensions	gigantesques
Magn	dimensions	immenses
Magn	dimensions	vertigineuses
Magn	diminuer	drastiquement
Oper1	diminution	subir 
Son	dinde	Glouglou !
Magn	dingue	farfelu

Magn	dingue	barjo
Magn	dingue	dérangé

Adv1	dire	sans mot dire
Magn	dire	haut et fort
Syn	dire	_tenir ce langage_ (Il tint ce langage)
Adv1	direct	en 
V0	direction	diriger
AntiVer	direction	mauvaise
Caus1Oper1	direction	prendre
Ver	direction	bonne
A2	direction	sous 
S1	direction	directeur
Oper1	directive	fournir 
CausFunc0	discipline	maintenir 
Func0	discipline	régne 
Magn	discipline	de fer
Magn	discipline	dure
Magn	discipline	sévère
Oper1	discours	prononcer 
Oper1	discours	faire 
Oper1	discours	tenir 
CausFunc1	discrédit	jeter
IncepOper1	discrédit	tomber 
Magn	discréditer	largement
Adv1	discrétion	dans
Magn	discrétion	grande
IncepFunc0	discussion	s’amorce
IncepOper1	discussion	entreprendre 
Magn	discussion	chaude
Magn	discussion	longue
Oper1	discussion	avoir 
Oper1	discussion	être 
Oper1	discussion	mener 
Oper2	discussion	dominer 
S0	discuter	discussion
Func0	disette	règne
A1	disparaître	en voie de disparition
Magn	disparaître	sans laisser de trace
S0	disparaître	disparition
Labor12	disposition	avoir
Oper2	disposition	être 
V0	disposition	disposer
Oper1	dispositions	prendre 
QSyn	disproportionné	dégingandé
Magn	dispute	grave
Syn	dissimuler	cacher [...] sous le boisseau
S1	dissolu	patachon
AntiMagn	distance	faible
ContOper1	distance	garder
Real1	distance	respecter 
AntiMagn	distinction	faible
Oper1	distinction	établir 
Oper1	distinction	faire 
Oper1	distinction	opérer 
V0	distinction	distinguer
Oper1	distinction	attribuer 
Magn	distinction	haute
S0	distinguer	distinction
Syn	distinguer	faire le départ 
Magn	divergences	graves
Magn	divergences	notable
Magn	divergent	férocement
S1	divination	diseur de bonne aventure
IncepFunc0	division	se fait jour
Oper1	division	pratiquer 
Oper1	division	procéder 
Fact0	docteur	exerce
Syn	docteur	médecin
CausFunc0	document	produire 
CausOper1	dogme	ériger
Magn	dogme	absolue
Syn	doigts	digit(o)-
Oper2	domaine	être 
QSyn	domaine	pré carré
QSyn	domestique	bonne
QSyn	domestique	larbin
QSyn	domestique	laquais
Syn	dominer	avoir barre 
Syn	dominer	faire la pluie et le beau temps
AntiMagn	dommage	léger
CausFunc0	dommage	provoquer 
CausFunc1	dommage	causer
CausFunc1	dommage	faire
Magn	dommage	grave
Oper1	dommage	causer 
Oper1	dommage	infliger 
Oper2	dommage	subir 
V0	dommage	endommager
Magn	don	unique
Magn	don	rare
Oper1	don	posséder 
Oper1	don	prodiguer 
Oper1	don	faire 
QSyn	donc	comme quoi
Caus1Func0	données	amasser
AntiVer	données	fragiles
Ver	données	robustes
AntiBon	dormir	passer une mauvaise nuit
Anti	dormir	veiller
AntiMagn	dormir	à demi
AntiMagn	dormir	d’un sommeil léger
AntiMagn	dormir	ne ~ que d’un œil
Magn	dormir	_à poings fermés_
Magn	dormir	_comme un plomb_
Magn	dormir	_comme un sonneur_
Magn	dormir	_comme une masse_
Magn	dormir	_comme une souche_
Magn	dormir	_en écraser_
Magn	dormir	_sur ses deux oreilles_
Magn	dormir	profondément
S0	dormir	sommeil
S1	dormir	_oiseau de nuit_
S1	dormir	couche-tard
Son	dormir	ronfler
Syn	dormir	roupiller
A0	dos	dorsal
Magn	dose	forte
Magn	dose	importante
AntiMagn	dose	faible
Real1	dose	prendre 
Caus1Func0	dossier	constituer
Caus1Func0	dossier	monter
Real2	dossier	étudier 
Anti	double	simple
Magn	douceur	angélique
Oper1	douche	prendre 
Real1	douche	passer 
Sinstr	doucher, se	douche
Magn	douleur	aiguë
Magn	douleur	brutale
Magn	douleur	vive
AntiMagn	douleur	faible
AntiMagn	douleur	légère
AntiMagn	douleur	petite
CausOper1	douleur	_faire mal_
Magn	douleur	inouïe
Magn	douleur	insoutenable
Magn	douleur	intolérable
Magn	douleur	atroce
Magn	douleur	cinglante
Magn	douleur	cuisante
Magn	douleur	déchirante
Magn	douleur	forte
Magn	douleur	fulgurante
Magn	douleur	lancinant
Oper1	douleur	avoir 
Real1	douleur	hurler 
Real1	douleur	perdre connaissance 
Real1	douleur	se tordre 
Syn	douleur	bobo
Syn	douleur	mal
CausFunc0	doute	semer 
Oper1	doute	éprouver 
Oper1	doute	avoir 
A1	doute	dans 
AntiBon	doute	affreux
AntiMagn	doute	léger
CausFunc1	doute	créer
CausFunc1	doute	éveiller [...] les affres du ~
ContOper1	doute	conserver
ContOper1	doute	garder
Func0	doute	plane 
IncepFunc0	doute	naît
IncepFunc0	doute	s’élève
IncepFunc0	doute	surgit
LiquFunc0	doute	dissiper 
LiquFunc0	doute	ne faire aucun 
LiquFunc0	doute	ne laisser planer aucun 
A1	douter	dubitatif
S0	douter	doute
Magn	doux	comme un agneau
Magn	doux	comme un mouton
Func0	drame	se produit
Son	drapeau	claque
Fact2	drapeau	flotte
S1	drogue	drogué
S1	drogue	toxicomane
S1	drogue	trafiquant
Syn	drogue	stupéfiant
Real3	droit	respecter
Adv1	droit	à 
AntiReal1	droit	abandonner
AntiReal1	droit	renoncer
Caus1Oper1	droit	s’arroger 
CausFunc1	droit	consentir
IncepOper1	droit	gagner 
Oper1	droit	avoir 
Oper1	droit	avoir 
Oper1	droit	bénéficier 
Oper1	droit	disposer 
Oper1	droit	être 
Real1	droit	exercer 
Real1	droit	faire valoir 
Real1	droit	se prévaloir 
Real1	droit	user 
QSyn	dû	attribuable
Magn	dur	comme un roc
Magn	dur	comme un roc
Magn	dur	d’acier
Magn	dysfonctionnement	sérieux
Son	eau	clapoter
Func2	eaux	engloutent
Syn	ébahi	ébaubi
CausOper1	ébullition	porter
Adv1	écart	sur la touche
Adv1	écart	à 
LiquFunc0	écart	combler 
AntiMagn	échapper	de justesse
Magn	échapper	totalement
Magn	échapper	comme une anguille
CausFunc0	échéance	établir 
CausFunc0	échéance	fixer 
